Cycle,GNNEpisode,GNNReward,GNNLoss,AGVPeakStress
1,0,9.95,0.0123,0.0
1,1,9.95,0.0125,0.0
1,2,9.95,0.0123,0.0
1,3,9.95,0.0123,0.0
1,4,9.95,0.0122,0.0
1,5,9.95,0.0122,0.0
1,6,9.95,0.0123,0.0
1,7,9.95,0.0123,0.0
1,8,9.95,0.0123,0.0
1,9,9.95,0.0124,0.0
1,10,9.95,0.0124,0.0
1,11,9.95,0.0123,0.0
1,12,9.95,0.0123,0.0
1,13,9.95,0.0123,0.0
1,14,9.95,0.0123,0.0
1,15,9.95,0.0123,0.0
1,16,9.95,0.0123,0.0
1,17,9.95,0.0123,0.0
1,18,9.95,0.0123,0.0
1,19,9.95,0.0123,0.0
1,20,9.95,0.0123,0.0
1,21,9.95,0.0123,0.0
1,22,9.95,0.0123,0.0
1,23,9.95,0.0123,0.0
1,24,9.95,0.0123,0.0
1,25,9.95,0.0123,0.0
1,26,9.95,0.0123,0.0
1,27,9.95,0.0123,0.0
1,28,9.95,0.0123,0.0
1,29,9.95,0.0123,0.0
2,0,9.95,0.0123,0.0
2,1,9.95,0.0123,0.0
2,2,9.95,0.0123,0.0
2,3,9.95,0.0123,0.0
2,4,9.95,0.0123,0.0
2,5,9.95,0.0123,0.0
2,6,9.95,0.0123,0.0
2,7,9.95,0.0123,0.0
2,8,9.95,0.0123,0.0
2,9,9.95,0.0123,0.0
2,10,9.95,0.0123,0.0
2,11,9.95,0.0123,0.0
2,12,9.95,0.0123,0.0
2,13,9.95,0.0123,0.0
2,14,9.95,0.0123,0.0
2,15,9.95,0.0123,0.0
2,16,9.95,0.0123,0.0
2,17,9.95,0.0123,0.0
2,18,9.95,0.0123,0.0
2,19,9.95,0.0123,0.0
2,20,9.95,0.0123,0.0
2,21,9.95,0.0123,0.0
2,22,9.95,0.0123,0.0
2,23,9.95,0.0123,0.0
2,24,9.95,0.0123,0.0
2,25,9.95,0.0123,0.0
2,26,9.95,0.0123,0.0
2,27,9.95,0.0123,0.0
2,28,9.95,0.0123,0.0
2,29,9.95,0.0123,0.0
3,0,9.95,0.0123,0.0
3,1,9.95,0.0123,0.0
3,2,9.95,0.0123,0.0
3,3,9.95,0.0123,0.0
3,4,9.95,0.0123,0.0
3,5,9.95,0.0123,0.0
3,6,9.95,0.0123,0.0
3,7,9.95,0.0123,0.0
3,8,9.95,0.0123,0.0
3,9,9.95,0.0123,0.0
3,10,9.95,0.0123,0.0
3,11,9.95,0.0123,0.0
3,12,9.95,0.0123,0.0
3,13,9.95,0.0123,0.0
3,14,9.95,0.0123,0.0
3,15,9.95,0.0123,0.0
3,16,9.95,0.0123,0.0
3,17,9.95,0.0123,0.0
3,18,9.95,0.0123,0.0
3,19,9.95,0.0123,0.0
3,20,9.95,0.0123,0.0
3,21,9.95,0.0123,0.0
3,22,9.95,0.0123,0.0
3,23,9.95,0.0123,0.0
3,24,9.95,0.0123,0.0
3,25,9.95,0.0123,0.0
3,26,9.95,0.0123,0.0
3,27,9.95,0.0123,0.0
3,28,9.95,0.0123,0.0
3,29,9.95,0.0123,0.0
4,0,9.95,0.0123,0.0
4,1,9.95,0.0123,0.0
4,2,9.95,0.0123,0.0
4,3,9.95,0.0123,0.0
4,4,9.95,0.0123,0.0
4,5,9.95,0.0123,0.0
4,6,9.95,0.0123,0.0
4,7,9.95,0.0123,0.0
4,8,9.95,0.0123,0.0
4,9,9.95,0.0123,0.0
4,10,9.95,0.0123,0.0
4,11,9.95,0.0123,0.0
4,12,9.95,0.0123,0.0
4,13,9.95,0.0123,0.0
