Ep#,RTT(ms),Stress(N),PeakStress(N),Error(m),Jitter(ms),Collisions,Status
1,24.41,377.9,7427.5,0.078,40.61,4,partial
2,48.52,520.6,7346.7,0.094,80.24,6,partial
3,23.97,401.4,7798.3,0.077,34.81,4,partial
4,21.99,381.8,7366.9,0.077,31.48,4,partial
5,24.62,369.9,7382.7,0.078,40.67,4,partial
6,23.9,421.5,7412.4,0.08,35.26,4,partial
7,24.49,390.6,7392.5,0.078,40.5,4,partial
8,24.25,372.5,7348.4,0.076,35.4,4,partial
9,16.81,365.4,7348.6,0.072,26.04,3,partial
10,31.08,436.2,7419.4,0.084,47.9,5,partial
